"","Discovery Facility","Discovered Planets","Discovery Methods","Average Orbital Period (days)","Median Orbital Period (days)","Average Orbit Semi-Major Axis (AU)","Median Orbit Semi-Major Axis (AU)","Average Inclination (deg)","lon","lat","website"
"43","South African Astronomical Observatory (SuperWASP-South)",38,1,4.25,3.79,0.05,0.05,86.65,18.477115,-33.9345393,"<a href='https://www.saao.ac.za/'target = '_blank'>South African Astronomical Observatory (SuperWASP-South)</a>"
"44","Spitzer Space Telescope",3,1,NA,NA,1357.67,800,NA,NA,NA,"<a href='http://www.spitzer.caltech.edu/'target = '_blank'>Spitzer Space Telescope</a>"
"45","Subaru Telescope",8,2,256.33,176.3,72.06,22.56,86.19,-155.0902949,19.7025722,"<a href='https://subarutelescope.org/'target = '_blank'>Subaru Telescope</a>"
"46","SuperWASP-North - Roque de Los Muchachos",2,1,3.05,3.05,0.04,0.04,85.21,-17.8849999,28.7547222,"<a href='http://www.iac.es/eno.php?op1=2&lang=en'target = '_blank'>SuperWASP-North - Roque de Los Muchachos</a>"
"47","SuperWASP - Roque de Los Muchachos ",111,2,42.35,3.41,0.13,0.04,86.44,-17.8849999,28.7547222,"<a href='http://www.iac.es/eno.php?op1=2&lang=en'target = '_blank'>SuperWASP - Roque de Los Muchachos </a>"
"48","Teide Observatory",1,1,NA,NA,670,670,NA,-16.3088451,28.4753549,"<a href='https://www.volcanoteide.com/en'target = '_blank'>Teide Observatory</a>"
"49","Thueringer Landessternwarte Tautenburg",8,1,623.57,475.35,1.48,1.22,NA,11.7115233,50.9816709,"<a href='http://www.tls-tautenburg.de/TLS/index.php?id=2'target = '_blank'>Thueringer Landessternwarte Tautenburg</a>"
"50","Transiting Exoplanet Survey Satellite (TESS)",29,1,10.26,6.27,0.08,0.07,88.26,-79.7084365,28.4886723,"<a href='https://www.nasa.gov/tess-transiting-exoplanet-survey-satellite/'target = '_blank'>Transiting Exoplanet Survey Satellite (TESS)</a>"
"51","TrES",5,1,2.37,2.47,0.02,0.02,84.5,-122.3914877,37.7802967,"<a href='https://lowell.edu/'target = '_blank'>TrES</a>"
"52","United Kingdom Infrared Telescope",2,1,2.19,2.19,0.03,0.03,84.53,-155.4702928,19.8224497,"<a href='https://www.ukirt.hawaii.edu/'target = '_blank'>United Kingdom Infrared Telescope</a>"
"53","University of Canterbury Mt John Observatory",23,1,2378,2378,2.02,1.61,52,170.4641473,-43.9852537,"<a href='http://www.phys.canterbury.ac.nz/moa/'target = '_blank'>University of Canterbury Mt John Observatory</a>"
"54","W. M. Keck Observatory",172,2,1324.88,598.3,5.16,1.4,68.44,-155.4746821,19.8259508,"<a href='http://www.keckobservatory.org/'target = '_blank'>W. M. Keck Observatory</a>"
"55","Xinglong Station",2,1,324.81,324.81,1.23,1.23,NA,117.575,40.3942,"<a href='http://www.xinglong-naoc.org/html/en/'target = '_blank'>Xinglong Station</a>"
"56","XO",6,1,3.64,3.85,0.06,0.05,86.29,-94.5146177,37.0866729,"<a href='https://www.ifa.hawaii.edu/haleakalanew/observatories.shtml'target = '_blank'>XO</a>"
"57","Yunnan Astronomical Observatory",1,1,10220,10220,8.19,8.19,NA,102.79002,25.022235,"<a href='http://english.ynao.cas.cn/'target = '_blank'>Yunnan Astronomical Observatory</a>"
