"loc_rowid","kepid","tce_plnt_num","tce_period","tce_time0bk","tce_impact","tce_duration","tce_depth","tce_model_snr","av_training_set"
11302,"07618364",2,0.544928,131.986,0.7064,1.252,32.62,15.22,"AFP"
11303,"07618364",3,0.544859,131.736,0.9044,1.346,1.497,0.8805,"AFP"
11304,"07620413",1,2.54305,132.683,0.8995,2.757,145,24.96,"PC"
11305,"07620413",2,3.66523,131.511,0.1,4.5,456.7,-1,"UNK"
11306,"07631194",2,0.81138,132.289,0.3734,1.162,61.57,16.13,"AFP"
11307,"07658229",1,36.1826,144.701,0.977,4.172,9447,118.8,"PC"
11308,"07658578",1,1.13035,131.965,0.7001,3.013,71.02,35.63,"NTP"
11309,"07658578",2,4.52143,134.593,0.008854,5.449,103.8,24.77,"AFP"
11310,"07673192",1,6.12484,134.933,0.503,3.598,147.6,28.77,"PC"
11311,"07673192",2,4.02875,133.77,0.0946,3.17,100.1,23.17,"PC"
11312,"07673192",3,11.2428,136.321,0.5,4.194,140.1,19.7,"PC"
11313,"07699056",2,0.960281,131.527,0.2487,1.37,64.76,3.202,"AFP"
11314,"07699056",3,0.960278,132.256,0.09344,2.502,49.23,3.192,"AFP"
11315,"07699056",4,0.960275,132.014,0.3599,1.381,85.52,4.387,"AFP"
11316,"07732964",1,598.546,384.416,0.00165,9.592,110.6,0.4601,"NTP"
11317,"07733540",1,0.772586,131.713,0.5135,2.698,171.2,9.048,"UNK"
11318,"07733685",1,0.804108,131.888,0.8829,2.926,23.53,1.654,"AFP"
11319,"07733685",2,0.803939,131.761,0.6371,4.72,230.3,12.18,"AFP"
11320,"07761918",1,89.1934,217.825,0.8739,4.415,895.6,64.47,"PC"
11321,"07762723",1,9.88738,139.523,0.1763,4.174,60.77,11.77,"AFP"
11322,"07763269",1,6.40827,134.042,0.9725,2.885,7693,195.7,"PC"
11323,"07777416",2,2.54555,132.647,0.9892,2.778,767.9,22.66,"AFP"
11324,"07777435",1,0.544412,131.936,0.8343,2.21,0.02373,0.0213,"AFP"
11325,"07777435",2,1.26988,132.49,0.2965,2.469,14.73,6.055,"UNK"
11326,"07777435",3,0.54412,131.836,0.9066,1.688,11.03,6.858,"AFP"
11327,"07335713",1,0.573701,131.945,0.3138,1.369,59.49,16.76,"AFP"
11328,"07335713",2,0.573721,131.652,0.7,1.275,48.62,13.82,"AFP"
11329,"07335972",1,0.579764,131.799,0.3406,0.8387,166.4,15.55,"AFP"
11330,"07364845",1,0.832459,131.718,0.6387,2.358,22.13,6.177,"AFP"
11331,"07364845",2,0.832474,132.108,0.02155,3.099,27.53,9.617,"AFP"
11332,"07365447",1,2.52552,133.849,0.7319,3.595,123300,2727,"UNK"
11333,"07365528",1,0.641456,131.714,0.6277,2.685,97.43,11.54,"AFP"
11334,"07379646",2,1.33588,132.508,1,2.124,182.2,20.26,"AFP"
11335,"07380537",1,2.6889,132.458,0.1706,2.125,37350,1715,"PC"
11336,"07380829",1,3.17468,132.233,0.2787,6.079,197,35.99,"AFP"
11337,"07381580",1,13.5165,144.03,0.1625,2.211,152,7.996,"UNK"
11338,"07431709",1,0.572516,131.783,0.5472,2.083,46.75,10.65,"AFP"
11339,"07431838",1,3.03699,133.876,0.9004,4.361,34.46,18.9,"AFP"
11340,"07431838",2,3.03702,134.328,0.2963,2.01,47.08,20.63,"AFP"
11341,"07431838",3,3.03698,134.542,0.7025,1.804,37.97,16.48,"AFP"
11342,"07455624",1,0.581504,131.932,0.7036,1.983,194.7,19.8,"AFP"
11343,"07455624",2,0.581516,131.546,0.7,1.939,197.1,19.69,"AFP"
11344,"07455624",3,0.581696,131.597,0.1,2,280.6,-1,"AFP"
11345,"07455733",1,0.753285,131.825,1,1.118,104.4,10.15,"UNK"
11346,"07455914",1,1.6982,132.429,0.9169,5.478,126.6,4.964,"AFP"
11347,"07467185",1,1.19145,132.659,0.9139,2.891,26.95,8.666,"AFP"
11348,"07467185",2,1.19158,131.996,0.003586,5.493,38.18,14.42,"AFP"
11349,"07467518",1,0.928836,132.368,0.2468,1.34,77.91,12.67,"UNK"
11350,"07522019",1,1.20776,132.492,0.9925,1.622,39.32,13.21,"UNK"
